Date,Time,FTP,Open,Close,Volume,Bid
06-01-2020,14:09:14,1504.65,1520,1537.15,8715747,1504.7
06-01-2020,14:09:18,1504.5,1520,1537.15,8715998,1504.7
06-01-2020,14:09:22,1504.5,1520,1537.15,8717690,1504.7
06-01-2020,14:09:29,1504.6,1520,1537.15,8717865,1504.7
06-01-2020,14:09:32,1504.45,1520,1537.15,8718965,1504.7
06-01-2020,14:09:36,1504.45,1520,1537.15,8719336,1504.7
06-01-2020,14:09:39,1504.45,1520,1537.15,8720362,1504.7
06-01-2020,14:09:45,1504.75,1520,1537.15,8721573,1504.7
06-01-2020,14:09:50,1504.35,1520,1537.15,8721900,1504.35
06-01-2020,14:09:56,1504.6,1520,1537.15,8722492,1504.35
06-01-2020,14:10:01,1504.35,1520,1537.15,8723623,1504.35
06-01-2020,14:10:05,1504.55,1520,1537.15,8724068,1504.35
06-01-2020,14:10:09,1504.5,1520,1537.15,8725499,1504.35
06-01-2020,14:10:15,1504.5,1520,1537.15,8726363,1504.35
06-01-2020,14:10:20,1504.6,1520,1537.15,8726897,1504.35
06-01-2020,14:10:25,1504.45,1520,1537.15,8727356,1504.35
06-01-2020,14:10:30,1504.45,1520,1537.15,8728215,1504.35
06-01-2020,14:10:34,1504.55,1520,1537.15,8728838,1504.2
06-01-2020,14:10:39,1504.25,1520,1537.15,8729836,1504.2
06-01-2020,14:10:43,1504.05,1520,1537.15,8729937,1504.2
06-01-2020,14:10:47,1504.05,1520,1537.15,8729968,1504.2
06-01-2020,14:10:51,1504,1520,1537.15,8732074,1504.2
06-01-2020,14:10:56,1503.9,1520,1537.15,8733438,1504.2
06-01-2020,14:11:00,1503.6,1520,1537.15,8733744,1504.2
06-01-2020,14:11:05,1503.6,1520,1537.15,8733869,1504.2
06-01-2020,14:11:10,1503.65,1520,1537.15,8735073,1504.2
06-01-2020,14:11:16,1503.65,1520,1537.15,8736029,1504.2
06-01-2020,14:11:21,1503.7,1520,1537.15,8736765,1503.5
06-01-2020,14:11:26,1503.4,1520,1537.15,8737600,1503.5
06-01-2020,14:11:32,1503.2,1520,1537.15,8738942,1503.5
06-01-2020,14:11:36,1503.6,1520,1537.15,8740205,1503.5
06-01-2020,14:11:41,1503.2,1520,1537.15,8740578,1503.5
06-01-2020,14:11:46,1503.4,1520,1537.15,8741288,1503.5
06-01-2020,14:11:50,1503.55,1520,1537.15,8742094,1503.5
06-01-2020,14:11:55,1503.5,1520,1537.15,8742534,1503.5
06-01-2020,14:12:00,1503.5,1520,1537.15,8742694,1503.5
06-01-2020,14:12:04,1503.4,1520,1537.15,8742805,1503.5
06-01-2020,14:12:09,1503.05,1520,1537.15,8744049,1503
